number,name,male_ratio,female_ratio,classification,height,weight,capture_rate,base_egg_steps,type_1,type_2,exp_growth,exp_growth_type,base_happiness,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychict,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,egg_group,base_hp,base_attack,base_defense,base_sp_attack,base_sp_defense,base_speed
028,Sandslash,50.0,50.0,Mouse Pokémon,1,29.5,90,5120,ground,,1000000,Medium Fast,70,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,Field,75,100,110,45,55,65
140,Kabuto,87.5,12.5,Shellfish Pokémon,0.5,11.5,45,7680,rock,water,1000000,Medium Fast,70,0.5,0.25,1,2,4,0.5,2,0.5,2,0.5,1,1,1,1,1,1,1,Water 3,30,80,90,55,45,55
051,Dugtrio,50.0,50.0,Mole Pokémon,0.7,33.3,50,5120,ground,,1000000,Medium Fast,70,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,Field,35,80,50,50,70,120
233,Porygon2,#216,"['Porygon2', '#233', 0.0, 0.0]",Virtual Pokémon,0.6,32.5,45,5120,normal,,1000000,Medium Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Mineral,85,80,90,105,95,60
132,Ditto,#092,"['Ditto', '#132', 0.0, 0.0]",Transform Pokémon,0.3,4,35,5120,normal,,1000000,Medium Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Ditto,48,48,48,48,48,48
027,Sandshrew,50.0,50.0,Mouse Pokémon,0.6,12,255,5120,ground,,1000000,Medium Fast,70,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,Field,50,75,85,20,30,40
137,Porygon,#215,"['Porygon', '#137', 0.0, 0.0]",Virtual Pokémon,0.8,36.5,45,5120,normal,,1000000,Medium Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Mineral,65,60,70,85,75,40
041,Zubat,50.0,50.0,Bat Pokémon,0.8,7.5,255,3840,poison,flying,1000000,Medium Fast,70,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,Flying,40,45,35,30,40,55
033,Nidorino,100.0,0.0,Poison Pin Pokémon,0.9,19.5,120,5120,poison,,1059860,Medium Slow,70,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,Field,61,72,57,55,55,65
143,Snorlax,87.5,12.5,Sleeping Pokémon,2.1,460,25,10240,normal,,1250000,Slow,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Monster,160,110,65,65,110,30
217,Ursaring,50.0,50.0,Hibernator Pokémon,1.8,125.8,60,5120,normal,,1000000,Medium Fast,70,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Field,90,130,75,75,75,55
189,Jumpluff,50.0,50.0,Cottonweed Pokémon,0.8,3,45,5120,grass,flying,1059860,Medium Slow,70,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,Grass,75,55,70,55,85,110
