number,name,ability_1,ability_2,male_ratio,female_ratio,classification,height,weight,type_1,type_2,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,base_egg_steps,capture_rate,egg_group_2,egg_group_1,base_hp,base_ attack,base_defense,base_sp_attack,base_sp_defense,base_speed
287,Slakoth,Truant,,50,50,Slacker Pokémon,0.79,24.0,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"3,840",255,,Ground,60,60,60,35,35,30
345,Lileep,Suction Cups,,87.5,12.5,Sea Lily Pokémon,0.99,23.81,rock,grass,0.5,1,1,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,"7,680",45,,Water 3,66,41,77,61,87,23
144,Articuno,Pressure,,0,0,Freeze Pokémon,1.7,55.38,ice,flying,1,2,1,2,0.5,1,1,1,0,1,1,0.5,4,1,1,1,2,"20,480",3,,,90,85,100,95,125,85
065,Alakazam,Synchronize,Inner Focus,75,25,Psi Pokémon,1.5,48.08,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"5,120",50,,HumanShape,55,50,45,135,85,120
206,Dunsparce,Serene Grace,Run Away,50,50,Land Snake Pokémon,0.61,7.21,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",190,,Ground,100,70,70,65,65,45
189,Jumpluff,Chlorophyll,,50,50,Cottonweed Pokémon,0.79,2.99,grass,flying,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,"5,120",45,Fairy,Plant,75,55,70,55,85,110
004,Charmander,Blaze,,87.5,12.5,Lizard Pokémon,0.61,8.48,fire,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,"5,120",45,Monster,Dragon,39,52,43,60,50,65
235,Smeargle,Own Tempo,,50,50,Painter Pokémon,1.19,58.01,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"5,120",45,,Ground,55,20,35,20,45,75
035,Clefairy,Cute Charm,,25,75,Fairy Pokémon,0.61,7.48,normal,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,"2,560",150,,Fairy,70,45,48,60,65,35
361,Snorunt,Inner Focus,,50,50,Snow Hat Pokémon,0.71,16.78,ice,,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,"5,120",190,Fairy,Mineral,50,50,50,50,50,50
201,Unown,Levitate,,0,0,Symbol Pokémon,0.51,4.99,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"10,240",225,,,48,72,48,72,48,48
308,Medicham,Pure Power,,50,50,Meditate Pokémon,1.3,31.48,fighting,psychic,1,1,1,1,1,1,0.5,1,1,2,1,1,0.5,2,1,1,1,"5,120",90,,HumanShape,60,60,75,60,75,80
261,Poochyena,Run Away,,50,50,Bite Pokémon,0.51,13.61,dark,,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,"3,840",255,,Ground,35,55,35,30,30,35
142,Aerodactyl,Rock Head,Pressure,87.5,12.5,Fossil Pokémon,1.8,59.01,rock,flying,0.5,0.5,2,2,1,2,1,0.5,0,0.5,1,0.5,2,1,1,1,2,"8,960",45,,Flying,80,105,65,60,75,130
029,Nidoran (F),Poison Point,,0,100,Poison Pin Pokémon,0.41,6.99,poison,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,"5,120",235,Monster,Ground,55,47,52,40,40,41
041,Zubat,Inner Focus,,50,50,Bat Pokémon,0.79,7.71,poison,flying,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,"3,840",255,,Flying,40,45,35,30,40,55
016,Pidgey,Keen Eye,,50,50,Tiny Bird Pokémon,0.3,1.81,normal,flying,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,"3,840",255,,Flying,40,45,40,35,35,56
021,Spearow,Keen Eye,,50,50,Tiny Bird Pokémon,0.3,2.0,normal,flying,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,"3,840",255,,Flying,40,60,30,31,31,70
150,Mewtwo,Pressure,,0,0,Genetic Pokémon,2.01,122.02,psychic,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,"30,720",3,,,106,110,90,154,90,130
