number,name,abiliy_1,abiliy_2,classification,height,weight,capture_rate,base_egg_steps,exp_growth,exp_growth_type,base_happiness,colour,safari_zone_flee_rate,against_water,against_normal,against_fire,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,egg_group_2,egg_group_1,base_hp,base_attack,base_defense,base_sp_attack,base_sp_defense,base_speed,egg_group_3
086,Seel,thick fat,hydration,Sea Lion Pokémon,1.09,89.81,190,5120,"1,000,000 ",Medium Fast,70,White,0,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Ground,Water 1,65,45,55,45,70,45,
237,Hitmontop,intimidate,technician,Handstand Pokémon,1.4,47.99,45,6400,"1,000,000 ",Medium Fast,70,Brown,0,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,,HumanShape,50,95,95,35,110,70,
061,Poliwhirl,water absorb,damp,Tadpole Pokémon,0.99,20.0,120,5120,"1,059,860 ",Medium Slow,70,Blue,60,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,,Water 1,65,65,65,50,50,90,
396,Starly,keen eye,,Starling Pokémon,0.3,2.0,255,3840,"1,059,860 ",Medium Slow,70,Brown,90,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,,Flying,40,55,30,30,30,60,
044,Gloom,chlorophyll,,Weed Pokémon,0.51,5.44,120,5120,"1,059,860 ",Medium Slow,70,Blue,60,0.5,1,2,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,,Plant,60,65,70,85,75,40,
419,Floatzel,swift swim,,Sea Weasel Pokémon,1.09,33.52,75,5120,"1,000,000 ",Medium Fast,70,Brown,90,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Ground,Water 1,85,105,55,85,50,115,
291,Ninjask,speed boost,,Ninja Pokémon,0.79,12.02,120,3840,"600,000 ",Erratic,70,Yellow,0,1,1,2,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,,Bug,61,90,45,50,50,160,
073,Tentacruel,clear body,liquid ooze,Jellyfish Pokémon,1.6,54.88,60,5120,"1,250,000 ",Slow,70,Blue,0,0.5,1,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,,Water 3,80,70,65,80,120,100,
194,Wooper,damp,water absorb,Water Fish Pokémon,0.41,8.48,255,5120,"1,000,000 ",Medium Fast,70,Blue,120,1,1,0.5,0,4,1,1,0.5,1,1,1,1,0.5,1,1,1,0.5,Ground,Water 1,55,45,45,25,25,15,
318,Carvanha,rough skin,,Savage Pokémon,0.79,20.82,225,5120,"1,250,000 ",Slow,35,Red,90,0.5,1,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,,Water 2,45,90,20,65,20,65,
408,Cranidos,mold breaker,,Head Butt Pokémon,0.89,31.48,45,7680,"600,000 ",Erratic,70,Blue,0,2,0.5,0.5,1,2,1,2,0.5,2,0.5,1,1,1,1,1,1,2,,Monster,67,125,40,30,30,58,
286,Breloom,effect spore,poison heal,Mushroom Pokémon,1.19,39.19,90,3840,"1,640,000 ",Fluctuating,70,Green,90,0.5,1,2,0.5,0.5,2,1,2,0.5,4,2,1,0.5,1,1,0.5,1,Plant,Fairy,60,130,80,60,60,70,
301,Delcatty,cute charm,normalize,Prim Pokémon,1.09,32.61,60,3840,"800,000 ",Fast,70,Purple,0,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,Ground,Fairy,70,65,65,55,55,70,
422,Shellos,sticky hold,storm drain,Sea Slug Pokémon,0.3,6.3,190,5120,"1,000,000 ",Medium Fast,70,Purple,0,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Indeterminate,Water 1,76,48,48,57,62,34,
032,Nidoran♂,poison point,rivalry,Poison Pin Pokémon,0.51,8.98,235,5120,"1,059,860 ",Medium Slow,70,Purple,90,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,Ground,Monster,46,57,40,40,40,50,
437,Bronzong,levitate,heatproof,Bronze Bell Pokémon,1.3,187.02,90,5120,"1,000,000 ",Medium Fast,70,Green,60,1,0.5,2,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,1,0.5,1,0.5,,Mineral,67,89,116,79,116,33,
411,Bastiodon,sturdy,,Shield Pokémon,1.3,149.5,45,7680,"600,000 ",Erratic,70,Gray,0,2,0.25,1,1,1,0.5,4,0,4,0.25,0.5,0.5,0.5,0.5,0.5,0.5,1,,Monster,60,52,168,47,138,30,
116,Horsea,swift swim,sniper,Dragon Pokémon,0.41,8.16,225,5120,"1,000,000 ",Medium Fast,70,Blue,0,0.5,1,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Dragon,Water 1,30,40,70,70,25,60,
010,Caterpie,shield dust,,Worm Pokémon,0.3,2.9,255,3840,"1,000,000 ",Medium Fast,70,Green,0,1,1,2,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,,Bug,45,30,35,20,20,45,
167,Spinarak,swarm,insomnia,String Spit Pokémon,0.51,8.48,255,3840,"800,000 ",Fast,70,Green,0,1,1,2,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,,Bug,40,60,40,40,40,30,
310,Manectric,static,lightningrod,Discharge Pokémon,1.5,40.19,45,5120,"1,250,000 ",Slow,70,Yellow,90,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,,Ground,70,75,60,105,60,105,
252,Treecko,overgrow,,Wood Gecko Pokémon,0.51,4.99,45,5120,"1,059,860 ",Medium Slow,70,Green,0,0.5,1,2,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,Monster,Dragon,40,45,35,65,55,70,
201,Unown,levitate,,Symbol Pokémon,0.51,4.99,225,10240,"1,000,000 ",Medium Fast,70,Black,0,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,,,48,72,48,72,48,48,
100,Voltorb,soundproof,static,Ball Pokémon,0.51,10.43,190,5120,"1,000,000 ",Medium Fast,70,Red,120,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,,Mineral,40,30,50,55,55,100,
