number,name,abiliy_1,abiliy_2,hidden_ability,classification,height,weight,capture_rate,base_egg_steps,exp_growth,exp_growth_type,base_happiness,flee_flag,entree_forest_level,type_1,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychict,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,egg_group_2,egg_group_1,base_hp,base_attack,base_defense,base_sp_attack,base_sp_defense,base_speed,type_2,egg_group_3,abiliy_3,egg_group_4,abiliy_4,abiliy_5,abiliy_6,abiliy_7,abiliy_8
503,Samurott,torrent,,shell armor,Formidable Pokémon,1.5,94.6,45,5120,"1,059,860 ",Medium Slow,70,3 Sp. Attack Point(s),75,water,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,,Field,95,100,85,108,70,70,,,,,,,,,
447,Riolu,steadfast,inner focus,prankster,Emanation Pokémon,0.7,20.2,75,6400,"1,059,860 ",Medium Slow,70,158,10,fighting,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,,,40,70,40,35,40,60,,,,,,,,,
258,Mudkip,torrent,,damp,Mud Fish Pokémon,0.4,7.6,45,5120,"1,059,860 ",Medium Slow,70,6,10,water,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 1,Monster,50,70,50,50,50,40,,,,,,,,,
158,Totodile,torrent,,sheer force,Big Jaw Pokémon,0.6,9.5,45,5120,"1,059,860 ",Medium Slow,70,125,10,water,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,Water 1,Monster,50,65,64,44,48,43,,,,,,,,,
362,Glalie,inner focus,ice body,moody,Face Pokémon,1.5,256.5,75,5120,"1,000,000 ",Medium Fast,70,141,42,ice,1,2,1,1,1,0.5,2,1,1,1,1,1,2,1,1,1,2,Mineral,Fairy,80,80,80,80,80,80,,,,,,,,,
004,Charmander,blaze,,solar power,Lizard Pokémon,0.6,8.5,45,5120,"1,059,860 ",Medium Slow,70,94,10,fire,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,Monster,Dragon,39,52,43,60,50,65,,,,,,,,,
374,Beldum,clear body,,light metal,Iron Ball Pokémon,0.6,95.2,3,10240,"1,250,000 ",Slow,35,135,10,steel,0.5,2,1,1,0.5,0.5,1,0,2,0.5,0.25,1,0.5,1,0.5,1,0.5,,Mineral,40,55,80,35,60,30,psychic,,,,,,,,
187,Hoppip,chlorophyll,leaf guard,infiltrator,Cottonweed Pokémon,0.4,0.5,255,5120,"1,059,860 ",Medium Slow,70,151,10,grass,1,2,0.5,1,0.25,4,0.5,2,0,2,1,1,2,1,1,1,1,Grass,Fairy,35,35,40,35,55,50,flying,,,,,,,,
174,Igglybuff,cute charm,,friend guard,Balloon Pokémon,0.3,1.0,170,2560,"800,000 ",Fast,70,132,10,normal,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,,,90,30,15,40,20,15,,,,,,,,,
560,Scrafty,shed skin,moxie,intimidate,Hoodlum Pokémon,1.1,30.0,90,3840,"1,000,000 ",Medium Fast,70,1 Defense Point(s)1 Sp. Defense Point(s),22,dark,1,1,1,1,1,1,2,1,1,2,0,1,0.5,0.5,1,0.25,1,Field,Dragon,65,90,115,45,115,58,fighting,,,,,,,,
